id,label,timeset,url,category
0,VB.net searching in current Website after a string,,/questions/41208025/vb-net-searching-in-current-website-after-a-string,html
1,How to change the color of a table view cell dynamically,,/questions/41208023/how-to-change-the-color-of-a-table-view-cell-dynamically,ios
2,auto populate the primary contact field with the logged in user,,/questions/41208022/auto-populate-the-primary-contact-field-with-the-logged-in-user,javascript
3,Vue.js and masonry - different behavior on local and remote,,/questions/41208019/vue-js-and-masonry-different-behavior-on-local-and-remote,javascript
4,How to Wordpress image insert in custom plugin database,,/questions/41208018/how-to-wordpress-image-insert-in-custom-plugin-database,php
5,Django: How do I get my website/app online?,,/questions/41208017/django-how-do-i-get-my-website-app-online,django
6,c# listview item is not activating,,/questions/41208014/c-sharp-listview-item-is-not-activating,c#
7,HTML/CSS/JS/JQUERY: Make objects fixed even if the window is resized,,/questions/41208013/html-css-js-jquery-make-objects-fixed-even-if-the-window-is-resized,javascript
8,Upickle: mixing raw JSON - with case classes,,/questions/41208012/upickle-mixing-raw-json-with-case-classes,scala
9,Array of Picture boxes,,/questions/41208008/array-of-picture-boxes,arrays
10,Why does ldoc not producing output and not going through all subdirectories?,,/questions/41208006/why-does-ldoc-not-producing-output-and-not-going-through-all-subdirectories,lua
11,Receiving events in Pusher client,,/questions/41208003/receiving-events-in-pusher-client,python
12,How can I export to a vsproject on my mac (C++)?,,/questions/41208002/how-can-i-export-to-a-vsproject-on-my-mac-c,c++
13,moc-qt5 as pre-build command in codelite,,/questions/41208001/moc-qt5-as-pre-build-command-in-codelite,c++
14,How to use HashMap to get the data from child of child in Firebase in android?,,/questions/41207998/how-to-use-hashmap-to-get-the-data-from-child-of-child-in-firebase-in-android,android
15,Script to iterate through lines of alarm log file and execute some lines of code if alarm is active for more than one day,,/questions/41207997/script-to-iterate-through-lines-of-alarm-log-file-and-execute-some-lines-of-code,shell
16,Java library to switch windows under Windows (windows automation)?,,/questions/41207996/java-library-to-switch-windows-under-windows-windows-automation,java
17,How to Find number of weeks in a month using jquery,,/questions/41207991/how-to-find-number-of-weeks-in-a-month-using-jquery,javascript
18,And of two consecutive Truth values in a List,,/questions/41207988/and-of-two-consecutive-truth-values-in-a-list,python
19,TicTacToe Game in C++ using Classes. Turns between Human & Computer?,,/questions/41207983/tictactoe-game-in-c-using-classes-turns-between-human-computer,c++
20,scrollTop jquery in RTL direction,,/questions/41207981/scrolltop-jquery-in-rtl-direction,javascript
21,How to turn off printing result of python “sh” library,,/questions/41207979/how-to-turn-off-printing-result-of-python-sh-library,linux
22,GPUImage libary setEGLContext null [duplicate],,/questions/41207975/gpuimage-libary-seteglcontext-null,android
23,How to show a div for a while before second page load,,/questions/41207970/how-to-show-a-div-for-a-while-before-second-page-load,javascript
24,How do I get the cURL responses for different pages?,,/questions/41207967/how-do-i-get-the-curl-responses-for-different-pages,python
25,How to install Android SDK for unity?,,/questions/41207966/how-to-install-android-sdk-for-unity,android
26,Make Java set threadSafe,,/questions/41207959/make-java-set-threadsafe,java
27,how to compute gradient of a Gaussian Mixture Model in theano,,/questions/41207957/how-to-compute-gradient-of-a-gaussian-mixture-model-in-theano,python
28,scrapy: no module named middleware,,/questions/41207956/scrapy-no-module-named-middleware,python
29,Update UIApplicationShortcutItem from extension,,/questions/41207955/update-uiapplicationshortcutitem-from-extension,swift
30,Torri FireBase Authentication EmberFire,,/questions/41207953/torri-firebase-authentication-emberfire,ember.js
31,Swift Array in CoreData,,/questions/41207951/swift-array-in-coredata,arrays
32,How can I send the multiple checkbox value in Ajax and show in different div?,,/questions/41207947/how-can-i-send-the-multiple-checkbox-value-in-ajax-and-show-in-different-div,jquery
33,Foundation select menu width,,/questions/41207946/foundation-select-menu-width,css
34,I want some reference on designing for rails app,,/questions/41207944/i-want-some-reference-on-designing-for-rails-app,html
35,Error sending PHP - stream_socket_enable_crypto,,/questions/41207943/error-sending-php-stream-socket-enable-crypto,php
36,MVC 5 asp.net Inside Foreach Each Sum Related Data from other table,,/questions/41207941/mvc-5-asp-net-inside-foreach-each-sum-related-data-from-other-table,c#
37,Android's algorithm to determine default zoom-level?,,/questions/41207940/androids-algorithm-to-determine-default-zoom-level,android
38,Android fragment manager [duplicate],,/questions/41207939/android-fragment-manager,java
39,How to capture mouse event behind JButton?,,/questions/41207933/how-to-capture-mouse-event-behind-jbutton,java
40,Bash progress bar when running commands from within a script,,/questions/41207932/bash-progress-bar-when-running-commands-from-within-a-script,linux
41,Generate all possible paths from an initial position,,/questions/41207931/generate-all-possible-paths-from-an-initial-position,ocaml
42,What is the popular structure for Network Programming in Rust?,,/questions/41207929/what-is-the-popular-structure-for-network-programming-in-rust,network-programming
43,MySQL how to check for combinations,,/questions/41207926/mysql-how-to-check-for-combinations,php
44,Passing Array of string o pl/sql function in java,,/questions/41207925/passing-array-of-string-o-pl-sql-function-in-java,java
45,Convert CSS into html,,/questions/41207924/convert-css-into-html,html
46,scikit learn decision tree export graphviz - wrong class names in the decision tree,,/questions/41207923/scikit-learn-decision-tree-export-graphviz-wrong-class-names-in-the-decision-t,scikit-learn
47,Customizing drop down list with ajax,,/questions/41207920/customizing-drop-down-list-with-ajax,php
48,sending ATcommand from SIM808(Blutooth) to another device that using ATcommand too,,/questions/41207919/sending-atcommand-from-sim808blutooth-to-another-device-that-using-atcommand-t,at-command
49,LNK 2019 simple constructor [duplicate],,/questions/41207918/lnk-2019-simple-constructor,c++
50,Adding custom string in java manifest at the end of 'Classpath' via maven pom.xml,,/questions/41207715/adding-custom-string-in-java-manifest-at-the-end-of-classpath-via-maven-pom-xm,maven
51,Can't get ember engines running,,/questions/41207713/cant-get-ember-engines-running,javascript
52,C: HTTP web server- where to find the web root,,/questions/41207712/c-http-web-server-where-to-find-the-web-root,html
53,Download backgrounds from sexygoogle.com using python,,/questions/41207710/download-backgrounds-from-sexygoogle-com-using-python,python
54,Pushing to heroku master error,,/questions/41207708/pushing-to-heroku-master-error,git
55,How can you know the name/sequence of the bands of a GeoTIFF/TIFF file in Java?,,/questions/41207707/how-can-you-know-the-name-sequence-of-the-bands-of-a-geotiff-tiff-file-in-java,java
56,Error on iPhone but not on the simulator,,/questions/41207706/error-on-iphone-but-not-on-the-simulator,swift
57,How can I create clothes for a Morphable Character Model,,/questions/41207705/how-can-i-create-clothes-for-a-morphable-character-model,character
58,Why does the x axis disappear when the graph very big,,/questions/41207700/why-does-the-x-axis-disappear-when-the-graph-very-big,java
59,Recover Intellij settings and plugin data after VM crash,,/questions/41207698/recover-intellij-settings-and-plugin-data-after-vm-crash,java
60,converting my code from cpp to python giving me wrong results,,/questions/41207697/converting-my-code-from-cpp-to-python-giving-me-wrong-results,python
61,Linker issues with POCO library,,/questions/41207696/linker-issues-with-poco-library,multithreading
62,as.linnet function causes to hang the machine,,/questions/41207694/as-linnet-function-causes-to-hang-the-machine,spatstat
63,Monitor not showing anything after connecting android things flashed image in Rashberry Pi,,/questions/41207689/monitor-not-showing-anything-after-connecting-android-things-flashed-image-in-ra,android
64,Angular2 - when changing route I get a systemJs error for load children route,,/questions/41207688/angular2-when-changing-route-i-get-a-systemjs-error-for-load-children-route,javascript
